month,day,sunrise_raw,sunset_raw,daylength,daylength_difference,astronomical_twilight_start,astronomical_twilight_end,nautical_twilight_start,nautical_twilight_end,civil_twilight_start,civil_twilight_end,solar_noon_time,solar_noon_mil.mi
11,25,6:45 am ↑ (113°),5:29 pm ↑ (247°),10:43:43,−0:52,5:25 AM,6:50 PM,5:52 AM,6:22 PM,6:21 AM,5:54 PM,12:07 pm (43.5°),91.759
11,26,6:46 am ↑ (113°),5:29 pm ↑ (247°),10:42:52,−0:50,5:25 AM,6:50 PM,5:53 AM,6:22 PM,6:21 AM,5:54 PM,12:08 pm (43.3°),91.742
11,27,6:47 am ↑ (113°),5:29 pm ↑ (247°),10:42:03,−0:48,5:26 AM,6:50 PM,5:54 AM,6:22 PM,6:22 AM,5:54 PM,12:08 pm (43.1°),91.725
11,28,6:47 am ↑ (113°),5:29 pm ↑ (247°),10:41:16,−0:47,5:27 AM,6:50 PM,5:54 AM,6:22 PM,6:23 AM,5:53 PM,12:08 pm (42.9°),91.708
11,29,6:48 am ↑ (114°),5:29 pm ↑ (246°),10:40:30,−0:45,5:27 AM,6:50 PM,5:55 AM,6:22 PM,6:23 AM,5:54 PM,12:09 pm (42.7°),91.692
11,30,6:49 am ↑ (114°),5:29 pm ↑ (246°),10:39:46,−0:43,5:28 AM,6:50 PM,5:56 AM,6:22 PM,6:24 AM,5:54 PM,12:09 pm (42.6°),91.676
1,1,7:07 am ↑ (115°),5:41 pm ↑ (245°),10:33:53,+0:21,5:45 AM,7:03 PM,6:13 AM,6:35 PM,6:42 AM,6:06 PM,12:24 pm (41.3°),91.404
1,2,7:07 am ↑ (115°),5:41 pm ↑ (245°),10:34:17,+0:23,5:45 AM,7:03 PM,6:14 AM,6:35 PM,6:42 AM,6:07 PM,12:24 pm (41.4°),91.404
1,3,7:07 am ↑ (115°),5:42 pm ↑ (245°),10:34:43,+0:26,5:46 AM,7:04 PM,6:14 AM,6:36 PM,6:42 AM,6:07 PM,12:25 pm (41.4°),91.404
1,4,7:08 am ↑ (115°),5:43 pm ↑ (245°),10:35:11,+0:28,5:46 AM,7:05 PM,6:14 AM,6:36 PM,6:43 AM,6:08 PM,12:25 pm (41.5°),91.404
1,5,7:08 am ↑ (115°),5:44 pm ↑ (245°),10:35:41,+0:30,5:46 AM,7:05 PM,6:14 AM,6:37 PM,6:43 AM,6:09 PM,12:26 pm (41.7°),91.405
1,6,7:08 am ↑ (115°),5:44 pm ↑ (245°),10:36:13,+0:31,5:47 AM,7:06 PM,6:15 AM,6:38 PM,6:43 AM,6:09 PM,12:26 pm (41.8°),91.406
1,7,7:08 am ↑ (115°),5:45 pm ↑ (246°),10:36:47,+0:33,5:47 AM,7:06 PM,6:15 AM,6:38 PM,6:43 AM,6:10 PM,12:27 pm (41.9°),91.407
1,8,7:08 am ↑ (114°),5:46 pm ↑ (246°),10:37:23,+0:35,5:47 AM,7:07 PM,6:15 AM,6:39 PM,6:43 AM,6:11 PM,12:27 pm (42.0°),91.409
1,9,7:08 am ↑ (114°),5:46 pm ↑ (246°),10:38:01,+0:37,5:47 AM,7:08 PM,6:15 AM,6:40 PM,6:44 AM,6:11 PM,12:27 pm (42.2°),91.411
1,10,7:09 am ↑ (114°),5:47 pm ↑ (246°),10:38:40,+0:39,5:47 AM,7:08 PM,6:15 AM,6:40 PM,6:44 AM,6:12 PM,12:28 pm (42.3°),91.414
1,11,7:09 am ↑ (114°),5:48 pm ↑ (246°),10:39:22,+0:41,5:47 AM,7:09 PM,6:15 AM,6:41 PM,6:44 AM,6:13 PM,12:28 pm (42.5°),91.417
1,12,7:09 am ↑ (114°),5:49 pm ↑ (246°),10:40:05,+0:43,5:48 AM,7:10 PM,6:15 AM,6:42 PM,6:44 AM,6:14 PM,12:29 pm (42.6°),91.42
1,13,7:09 am ↑ (114°),5:49 pm ↑ (247°),10:40:50,+0:44,5:48 AM,7:10 PM,6:16 AM,6:43 PM,6:44 AM,6:14 PM,12:29 pm (42.8°),91.424
1,14,7:09 am ↑ (113°),5:50 pm ↑ (247°),10:41:36,+0:46,5:48 AM,7:11 PM,6:16 AM,6:43 PM,6:44 AM,6:15 PM,12:29 pm (43.0°),91.428
1,15,7:09 am ↑ (113°),5:51 pm ↑ (247°),10:42:25,+0:48,5:48 AM,7:12 PM,6:16 AM,6:44 PM,6:44 AM,6:16 PM,12:30 pm (43.2°),91.433
1,16,7:08 am ↑ (113°),5:52 pm ↑ (247°),10:43:15,+0:49,5:48 AM,7:12 PM,6:16 AM,6:45 PM,6:44 AM,6:16 PM,12:30 pm (43.4°),91.438
1,17,7:08 am ↑ (113°),5:53 pm ↑ (247°),10:44:06,+0:51,5:48 AM,7:13 PM,6:16 AM,6:45 PM,6:44 AM,6:17 PM,12:30 pm (43.5°),91.444
1,18,7:08 am ↑ (112°),5:53 pm ↑ (248°),10:44:59,+0:53,5:48 AM,7:14 PM,6:16 AM,6:46 PM,6:44 AM,6:18 PM,12:31 pm (43.7°),91.45
1,19,7:08 am ↑ (112°),5:54 pm ↑ (248°),10:45:54,+0:54,5:48 AM,7:14 PM,6:16 AM,6:47 PM,6:44 AM,6:19 PM,12:31 pm (44.0°),91.457
1,20,7:08 am ↑ (112°),5:55 pm ↑ (248°),10:46:50,+0:56,5:48 AM,7:15 PM,6:15 AM,6:47 PM,6:43 AM,6:19 PM,12:31 pm (44.2°),91.465
1,21,7:08 am ↑ (112°),5:56 pm ↑ (248°),10:47:48,+0:57,5:48 AM,7:16 PM,6:15 AM,6:48 PM,6:43 AM,6:20 PM,12:32 pm (44.4°),91.473
1,22,7:08 am ↑ (112°),5:56 pm ↑ (249°),10:48:47,+0:59,5:48 AM,7:16 PM,6:15 AM,6:49 PM,6:43 AM,6:21 PM,12:32 pm (44.6°),91.482
1,23,7:07 am ↑ (111°),5:57 pm ↑ (249°),10:49:48,+1:00,5:47 AM,7:17 PM,6:15 AM,6:49 PM,6:43 AM,6:22 PM,12:32 pm (44.9°),91.491
1,24,7:07 am ↑ (111°),5:58 pm ↑ (249°),10:50:50,+1:01,5:47 AM,7:18 PM,6:15 AM,6:50 PM,6:43 AM,6:22 PM,12:32 pm (45.1°),91.501
1,25,7:07 am ↑ (111°),5:59 pm ↑ (249°),10:51:53,+1:03,5:47 AM,7:18 PM,6:15 AM,6:51 PM,6:42 AM,6:23 PM,12:33 pm (45.3°),91.511
1,26,7:06 am ↑ (110°),5:59 pm ↑ (250°),10:52:57,+1:04,5:47 AM,7:19 PM,6:14 AM,6:51 PM,6:42 AM,6:24 PM,12:33 pm (45.6°),91.522
1,27,7:06 am ↑ (110°),6:00 pm ↑ (250°),10:54:03,+1:05,5:47 AM,7:20 PM,6:14 AM,6:52 PM,6:42 AM,6:24 PM,12:33 pm (45.8°),91.534
1,28,7:06 am ↑ (110°),6:01 pm ↑ (250°),10:55:10,+1:06,5:46 AM,7:20 PM,6:14 AM,6:53 PM,6:42 AM,6:25 PM,12:33 pm (46.1°),91.545
1,29,7:05 am ↑ (110°),6:02 pm ↑ (251°),10:56:18,+1:08,5:46 AM,7:21 PM,6:14 AM,6:53 PM,6:41 AM,6:26 PM,12:33 pm (46.4°),91.558
1,30,7:05 am ↑ (109°),6:02 pm ↑ (251°),10:57:27,+1:09,5:46 AM,7:21 PM,6:13 AM,6:54 PM,6:41 AM,6:27 PM,12:34 pm (46.6°),91.57
1,31,7:05 am ↑ (109°),6:03 pm ↑ (251°),10:58:38,+1:10,5:46 AM,7:22 PM,6:13 AM,6:55 PM,6:40 AM,6:27 PM,12:34 pm (46.9°),91.583
2,1,7:04 am ↑ (109°),6:04 pm ↑ (252°),10:59:49,+1:11,5:45 AM,7:23 PM,6:12 AM,6:55 PM,6:40 AM,6:28 PM,12:34 pm (47.2°),91.596
2,2,7:04 am ↑ (108°),6:05 pm ↑ (252°),11:01:02,+1:12,5:45 AM,7:23 PM,6:12 AM,6:56 PM,6:40 AM,6:29 PM,12:34 pm (47.5°),91.61
2,3,7:03 am ↑ (108°),6:05 pm ↑ (252°),11:02:15,+1:13,5:44 AM,7:24 PM,6:12 AM,6:57 PM,6:39 AM,6:29 PM,12:34 pm (47.8°),91.624
2,4,7:03 am ↑ (108°),6:06 pm ↑ (253°),11:03:30,+1:14,5:44 AM,7:25 PM,6:11 AM,6:57 PM,6:39 AM,6:30 PM,12:34 pm (48.1°),91.638
2,5,7:02 am ↑ (107°),6:07 pm ↑ (253°),11:04:45,+1:15,5:44 AM,7:25 PM,6:11 AM,6:58 PM,6:38 AM,6:31 PM,12:34 pm (48.4°),91.653
2,6,7:01 am ↑ (107°),6:07 pm ↑ (253°),11:06:01,+1:16,5:43 AM,7:26 PM,6:10 AM,6:59 PM,6:38 AM,6:31 PM,12:34 pm (48.7°),91.667
2,7,7:01 am ↑ (107°),6:08 pm ↑ (254°),11:07:18,+1:17,5:43 AM,7:26 PM,6:10 AM,6:59 PM,6:37 AM,6:32 PM,12:34 pm (49.0°),91.682
2,8,7:00 am ↑ (106°),6:09 pm ↑ (254°),11:08:36,+1:17,5:42 AM,7:27 PM,6:09 AM,7:00 PM,6:37 AM,6:33 PM,12:34 pm (49.3°),91.698
2,9,7:00 am ↑ (106°),6:10 pm ↑ (254°),11:09:55,+1:18,5:42 AM,7:28 PM,6:09 AM,7:01 PM,6:36 AM,6:33 PM,12:34 pm (49.6°),91.713
2,10,6:59 am ↑ (106°),6:10 pm ↑ (255°),11:11:14,+1:19,5:41 AM,7:28 PM,6:08 AM,7:01 PM,6:35 AM,6:34 PM,12:34 pm (50.0°),91.729
2,11,6:58 am ↑ (105°),6:11 pm ↑ (255°),11:12:34,+1:20,5:41 AM,7:29 PM,6:08 AM,7:02 PM,6:35 AM,6:35 PM,12:34 pm (50.3°),91.746
2,12,6:58 am ↑ (105°),6:12 pm ↑ (255°),11:13:55,+1:20,5:40 AM,7:29 PM,6:07 AM,7:02 PM,6:34 AM,6:35 PM,12:34 pm (50.6°),91.762
2,13,6:57 am ↑ (104°),6:12 pm ↑ (256°),11:15:17,+1:21,5:39 AM,7:30 PM,6:06 AM,7:03 PM,6:33 AM,6:36 PM,12:34 pm (51.0°),91.779
2,14,6:56 am ↑ (104°),6:13 pm ↑ (256°),11:16:39,+1:22,5:39 AM,7:30 PM,6:06 AM,7:04 PM,6:33 AM,6:36 PM,12:34 pm (51.3°),91.796
2,15,6:56 am ↑ (104°),6:14 pm ↑ (256°),11:18:02,+1:22,5:38 AM,7:31 PM,6:05 AM,7:04 PM,6:32 AM,6:37 PM,12:34 pm (51.6°),91.814
2,16,6:55 am ↑ (103°),6:14 pm ↑ (257°),11:19:25,+1:23,5:38 AM,7:32 PM,6:04 AM,7:05 PM,6:31 AM,6:38 PM,12:34 pm (52.0°),91.832
2,17,6:54 am ↑ (103°),6:15 pm ↑ (257°),11:20:49,+1:23,5:37 AM,7:32 PM,6:04 AM,7:05 PM,6:31 AM,6:38 PM,12:34 pm (52.3°),91.851
2,18,6:53 am ↑ (103°),6:15 pm ↑ (258°),11:22:14,+1:24,5:36 AM,7:33 PM,6:03 AM,7:06 PM,6:30 AM,6:39 PM,12:34 pm (52.7°),91.87
2,19,6:52 am ↑ (102°),6:16 pm ↑ (258°),11:23:39,+1:25,5:35 AM,7:33 PM,6:02 AM,7:06 PM,6:29 AM,6:39 PM,12:34 pm (53.0°),91.889
2,20,6:52 am ↑ (102°),6:17 pm ↑ (258°),11:25:04,+1:25,5:35 AM,7:34 PM,6:01 AM,7:07 PM,6:28 AM,6:40 PM,12:34 pm (53.4°),91.909
2,21,6:51 am ↑ (101°),6:17 pm ↑ (259°),11:26:30,+1:25,5:34 AM,7:34 PM,6:01 AM,7:07 PM,6:28 AM,6:41 PM,12:34 pm (53.8°),91.93
2,22,6:50 am ↑ (101°),6:18 pm ↑ (259°),11:27:57,+1:26,5:33 AM,7:35 PM,6:00 AM,7:08 PM,6:27 AM,6:41 PM,12:34 pm (54.1°),91.951
2,23,6:49 am ↑ (101°),6:18 pm ↑ (260°),11:29:24,+1:26,5:32 AM,7:35 PM,5:59 AM,7:09 PM,6:26 AM,6:42 PM,12:34 pm (54.5°),91.972
2,24,6:48 am ↑ (100°),6:19 pm ↑ (260°),11:30:51,+1:27,5:32 AM,7:36 PM,5:58 AM,7:09 PM,6:25 AM,6:42 PM,12:33 pm (54.9°),91.994
2,25,6:47 am ↑ (100°),6:20 pm ↑ (260°),11:32:18,+1:27,5:31 AM,7:36 PM,5:57 AM,7:10 PM,6:24 AM,6:43 PM,12:33 pm (55.2°),92.015
2,26,6:46 am ↑ (99°),6:20 pm ↑ (261°),11:33:46,+1:28,5:30 AM,7:37 PM,5:57 AM,7:10 PM,6:23 AM,6:43 PM,12:33 pm (55.6°),92.038
2,27,6:46 am ↑ (99°),6:21 pm ↑ (261°),11:35:15,+1:28,5:29 AM,7:37 PM,5:56 AM,7:11 PM,6:22 AM,6:44 PM,12:33 pm (56.0°),92.06
2,28,6:45 am ↑ (98°),6:21 pm ↑ (262°),11:36:43,+1:28,5:28 AM,7:38 PM,5:55 AM,7:11 PM,6:22 AM,6:44 PM,12:33 pm (56.4°),92.083
3,1,6:44 am ↑ (98°),6:22 pm ↑ (262°),11:38:12,+1:28,5:27 AM,7:38 PM,5:54 AM,7:12 PM,6:21 AM,6:45 PM,12:33 pm (56.7°),92.106
3,2,6:43 am ↑ (98°),6:22 pm ↑ (263°),11:39:42,+1:29,5:26 AM,7:39 PM,5:53 AM,7:12 PM,6:20 AM,6:46 PM,12:32 pm (57.1°),92.129
3,3,6:42 am ↑ (97°),6:23 pm ↑ (263°),11:41:11,+1:29,5:25 AM,7:39 PM,5:52 AM,7:13 PM,6:19 AM,6:46 PM,12:32 pm (57.5°),92.152
3,4,6:41 am ↑ (97°),6:24 pm ↑ (263°),11:42:41,+1:29,5:24 AM,7:40 PM,5:51 AM,7:13 PM,6:18 AM,6:47 PM,12:32 pm (57.9°),92.176
3,5,6:40 am ↑ (96°),6:24 pm ↑ (264°),11:44:11,+1:29,5:24 AM,7:40 PM,5:50 AM,7:14 PM,6:17 AM,6:47 PM,12:32 pm (58.3°),92.199
3,6,6:39 am ↑ (96°),6:25 pm ↑ (264°),11:45:41,+1:30,5:23 AM,7:41 PM,5:49 AM,7:14 PM,6:16 AM,6:48 PM,12:32 pm (58.7°),92.223
3,7,6:38 am ↑ (95°),6:25 pm ↑ (265°),11:47:12,+1:30,5:22 AM,7:41 PM,5:48 AM,7:15 PM,6:15 AM,6:48 PM,12:31 pm (59.0°),92.247
3,8,6:37 am ↑ (95°),6:26 pm ↑ (265°),11:48:42,+1:30,5:21 AM,7:42 PM,5:47 AM,7:15 PM,6:14 AM,6:49 PM,12:31 pm (59.4°),92.271
3,9,6:36 am ↑ (95°),6:26 pm ↑ (266°),11:50:13,+1:30,5:20 AM,7:42 PM,5:46 AM,7:16 PM,6:13 AM,6:49 PM,12:31 pm (59.8°),92.295
3,10,7:35 am ↑ (94°),7:27 pm ↑ (266°),11:51:44,+1:30,6:19 AM,8:43 PM,6:45 AM,8:16 PM,7:12 AM,7:50 PM,1:31 pm (60.2°),92.319
3,11,7:34 am ↑ (94°),7:27 pm ↑ (266°),11:53:15,+1:30,6:18 AM,8:43 PM,6:44 AM,8:17 PM,7:11 AM,7:50 PM,1:30 pm (60.6°),92.343
3,12,7:33 am ↑ (93°),7:28 pm ↑ (267°),11:54:46,+1:31,6:17 AM,8:44 PM,6:43 AM,8:17 PM,7:10 AM,7:51 PM,1:30 pm (61.0°),92.367
3,13,7:32 am ↑ (93°),7:28 pm ↑ (267°),11:56:17,+1:31,6:16 AM,8:44 PM,6:42 AM,8:18 PM,7:09 AM,7:51 PM,1:30 pm (61.4°),92.391
3,14,7:31 am ↑ (92°),7:29 pm ↑ (268°),11:57:48,+1:31,6:14 AM,8:45 PM,6:41 AM,8:18 PM,7:08 AM,7:52 PM,1:29 pm (61.8°),92.416
3,15,7:30 am ↑ (92°),7:29 pm ↑ (268°),11:59:19,+1:31,6:13 AM,8:45 PM,6:40 AM,8:19 PM,7:07 AM,7:52 PM,1:29 pm (62.2°),92.441
3,16,7:29 am ↑ (92°),7:30 pm ↑ (269°),12:00:51,+1:31,6:12 AM,8:46 PM,6:39 AM,8:19 PM,7:06 AM,7:53 PM,1:29 pm (62.6°),92.466
3,17,7:28 am ↑ (91°),7:30 pm ↑ (269°),12:02:22,+1:31,6:11 AM,8:47 PM,6:38 AM,8:20 PM,7:05 AM,7:53 PM,1:29 pm (63.0°),92.491
3,18,7:27 am ↑ (91°),7:31 pm ↑ (270°),12:03:54,+1:31,6:10 AM,8:47 PM,6:37 AM,8:20 PM,7:04 AM,7:53 PM,1:28 pm (63.4°),92.516
3,19,7:26 am ↑ (90°),7:31 pm ↑ (270°),12:05:25,+1:31,6:09 AM,8:48 PM,6:36 AM,8:21 PM,7:03 AM,7:54 PM,1:28 pm (63.8°),92.541
3,20,7:24 am ↑ (90°),7:31 pm ↑ (270°),12:06:57,+1:31,6:08 AM,8:48 PM,6:35 AM,8:21 PM,7:02 AM,7:54 PM,1:28 pm (64.2°),92.567
3,21,7:23 am ↑ (89°),7:32 pm ↑ (271°),12:08:28,+1:31,6:07 AM,8:49 PM,6:34 AM,8:22 PM,7:00 AM,7:55 PM,1:27 pm (64.6°),92.593
3,22,7:22 am ↑ (89°),7:32 pm ↑ (271°),12:09:59,+1:31,6:06 AM,8:49 PM,6:33 AM,8:22 PM,6:59 AM,7:55 PM,1:27 pm (64.9°),92.62
3,23,7:21 am ↑ (88°),7:33 pm ↑ (272°),12:11:31,+1:31,6:05 AM,8:50 PM,6:32 AM,8:23 PM,6:58 AM,7:56 PM,1:27 pm (65.3°),92.646
3,24,7:20 am ↑ (88°),7:33 pm ↑ (272°),12:13:02,+1:31,6:04 AM,8:50 PM,6:30 AM,8:23 PM,6:57 AM,7:56 PM,1:27 pm (65.7°),92.673
3,25,7:19 am ↑ (88°),7:34 pm ↑ (273°),12:14:33,+1:31,6:02 AM,8:51 PM,6:29 AM,8:24 PM,6:56 AM,7:57 PM,1:26 pm (66.1°),92.7
3,26,7:18 am ↑ (87°),7:34 pm ↑ (273°),12:16:05,+1:31,6:01 AM,8:51 PM,6:28 AM,8:24 PM,6:55 AM,7:57 PM,1:26 pm (66.5°),92.727
3,27,7:17 am ↑ (87°),7:35 pm ↑ (273°),12:17:36,+1:31,6:00 AM,8:52 PM,6:27 AM,8:25 PM,6:54 AM,7:58 PM,1:26 pm (66.9°),92.754
3,28,7:16 am ↑ (86°),7:35 pm ↑ (274°),12:19:07,+1:30,5:59 AM,8:52 PM,6:26 AM,8:25 PM,6:53 AM,7:58 PM,1:25 pm (67.3°),92.781
3,29,7:15 am ↑ (86°),7:36 pm ↑ (274°),12:20:37,+1:30,5:58 AM,8:53 PM,6:25 AM,8:26 PM,6:52 AM,7:59 PM,1:25 pm (67.7°),92.808
3,30,7:14 am ↑ (85°),7:36 pm ↑ (275°),12:22:08,+1:30,5:57 AM,8:53 PM,6:24 AM,8:26 PM,6:51 AM,7:59 PM,1:25 pm (68.1°),92.836
3,31,7:13 am ↑ (85°),7:36 pm ↑ (275°),12:23:39,+1:30,5:56 AM,8:54 PM,6:23 AM,8:27 PM,6:50 AM,8:00 PM,1:24 pm (68.5°),92.863
4,1,7:12 am ↑ (85°),7:37 pm ↑ (276°),12:25:09,+1:30,5:54 AM,8:54 PM,6:22 AM,8:27 PM,6:49 AM,8:00 PM,1:24 pm (68.9°),92.89
4,2,7:11 am ↑ (84°),7:37 pm ↑ (276°),12:26:39,+1:30,5:53 AM,8:55 PM,6:21 AM,8:28 PM,6:48 AM,8:01 PM,1:24 pm (69.2°),92.917
4,3,7:10 am ↑ (84°),7:38 pm ↑ (277°),12:28:10,+1:30,5:52 AM,8:56 PM,6:19 AM,8:28 PM,6:47 AM,8:01 PM,1:24 pm (69.6°),92.944
4,4,7:09 am ↑ (83°),7:38 pm ↑ (277°),12:29:39,+1:29,5:51 AM,8:56 PM,6:18 AM,8:29 PM,6:45 AM,8:02 PM,1:23 pm (70.0°),92.971
4,5,7:08 am ↑ (83°),7:39 pm ↑ (277°),12:31:09,+1:29,5:50 AM,8:57 PM,6:17 AM,8:29 PM,6:44 AM,8:02 PM,1:23 pm (70.4°),92.997
4,6,7:07 am ↑ (82°),7:39 pm ↑ (278°),12:32:38,+1:29,5:49 AM,8:57 PM,6:16 AM,8:30 PM,6:43 AM,8:02 PM,1:23 pm (70.8°),93.024
4,7,7:06 am ↑ (82°),7:40 pm ↑ (278°),12:34:08,+1:29,5:47 AM,8:58 PM,6:15 AM,8:30 PM,6:42 AM,8:03 PM,1:22 pm (71.1°),93.05
4,8,7:05 am ↑ (82°),7:40 pm ↑ (279°),12:35:36,+1:28,5:46 AM,8:59 PM,6:14 AM,8:31 PM,6:41 AM,8:03 PM,1:22 pm (71.5°),93.077
4,9,7:04 am ↑ (81°),7:41 pm ↑ (279°),12:37:05,+1:28,5:45 AM,8:59 PM,6:13 AM,8:31 PM,6:40 AM,8:04 PM,1:22 pm (71.9°),93.103
4,10,7:03 am ↑ (81°),7:41 pm ↑ (279°),12:38:33,+1:28,5:44 AM,9:00 PM,6:12 AM,8:32 PM,6:39 AM,8:04 PM,1:22 pm (72.3°),93.129
4,11,7:02 am ↑ (80°),7:42 pm ↑ (280°),12:40:01,+1:27,5:43 AM,9:00 PM,6:11 AM,8:32 PM,6:38 AM,8:05 PM,1:21 pm (72.6°),93.155
4,12,7:01 am ↑ (80°),7:42 pm ↑ (280°),12:41:29,+1:27,5:42 AM,9:01 PM,6:10 AM,8:33 PM,6:37 AM,8:05 PM,1:21 pm (73.0°),93.18
4,13,7:00 am ↑ (80°),7:43 pm ↑ (281°),12:42:56,+1:27,5:41 AM,9:02 PM,6:09 AM,8:34 PM,6:36 AM,8:06 PM,1:21 pm (73.4°),93.206
4,14,6:59 am ↑ (79°),7:43 pm ↑ (281°),12:44:23,+1:26,5:39 AM,9:02 PM,6:08 AM,8:34 PM,6:35 AM,8:06 PM,1:21 pm (73.7°),93.232
4,15,6:58 am ↑ (79°),7:43 pm ↑ (281°),12:45:49,+1:26,5:38 AM,9:03 PM,6:06 AM,8:35 PM,6:34 AM,8:07 PM,1:20 pm (74.1°),93.257
4,16,6:57 am ↑ (78°),7:44 pm ↑ (282°),12:47:15,+1:25,5:37 AM,9:04 PM,6:05 AM,8:35 PM,6:33 AM,8:08 PM,1:20 pm (74.4°),93.283
4,17,6:56 am ↑ (78°),7:44 pm ↑ (282°),12:48:41,+1:25,5:36 AM,9:04 PM,6:04 AM,8:36 PM,6:32 AM,8:08 PM,1:20 pm (74.8°),93.309
